iter	Passed	Remaining
0	143	143724
1	144	72238
2	145	48433
3	146	36512
4	147	29390
5	148	24568
6	149	21177
7	150	18620
8	150	16606
9	151	14990
10	152	13671
11	152	12569
12	153	11634
13	153	10832
14	154	10136
15	154	9529
16	155	8992
17	156	8516
18	156	8091
19	157	7706
20	157	7365
21	158	7056
22	159	6770
23	159	6505
24	160	6267
25	161	6048
26	162	5840
27	163	5692
28	164	5518
29	165	5349
30	166	5193
31	166	5045
32	167	4910
33	168	4779
34	168	4655
35	169	4536
36	169	4422
37	170	4316
38	171	4217
39	171	4122
40	172	4033
41	173	3951
42	174	3873
43	174	3795
44	175	3720
45	176	3653
46	176	3585
47	177	3519
48	178	3455
49	178	3393
50	179	3334
51	179	3280
52	180	3225
53	181	3171
54	181	3121
55	182	3073
56	182	3027
57	183	2981
58	184	2936
59	184	2893
60	185	2851
61	185	2813
62	186	2777
63	187	2741
64	188	2706
65	188	2674
66	189	2644
67	190	2613
68	191	2582
69	191	2550
70	192	2519
71	193	2488
72	193	2458
73	194	2429
74	194	2401
75	195	2374
76	195	2347
77	196	2322
78	197	2297
79	197	2272
80	198	2248
81	198	2226
82	199	2199
83	199	2177
84	200	2155
85	200	2135
86	201	2114
87	202	2097
88	203	2080
89	204	2065
90	205	2048
91	205	2032
92	206	2016
93	207	2003
94	208	1987
95	209	1970
96	209	1954
97	210	1937
98	211	1921
99	211	1905
100	212	1889
101	212	1874
102	213	1859
103	214	1844
104	214	1829
105	215	1815
106	215	1800
107	216	1786
108	216	1773
109	217	1762
110	218	1750
111	219	1739
112	220	1729
113	221	1719
114	221	1707
115	222	1696
116	223	1684
117	223	1672
118	224	1660
119	224	1649
120	225	1637
121	225	1625
122	226	1615
123	227	1604
124	227	1593
125	228	1583
126	228	1572
127	229	1561
128	229	1551
129	230	1541
130	230	1531
131	231	1524
132	232	1515
133	233	1506
134	233	1499
135	234	1491
136	235	1484
137	236	1477
138	237	1471
139	238	1465
140	239	1458
141	239	1449
142	240	1441
143	241	1433
144	241	1425
145	242	1417
146	242	1409
147	243	1401
148	244	1394
149	244	1386
150	245	1380
151	246	1373
152	246	1366
153	247	1359
154	248	1353
155	249	1348
156	250	1342
157	250	1337
158	251	1332
159	252	1327
160	253	1320
161	254	1315
162	255	1310
163	256	1305
164	256	1299
165	257	1293
166	257	1286
167	258	1280
168	259	1274
169	260	1269
170	260	1264
171	261	1258
172	262	1253
173	262	1248
174	263	1243
175	264	1238
176	265	1234
177	266	1229
178	266	1224
179	267	1218
180	268	1213
181	268	1207
182	269	1202
183	269	1197
184	270	1192
185	271	1187
186	271	1182
187	272	1177
188	273	1172
189	273	1167
190	274	1162
191	275	1157
192	275	1152
193	276	1147
194	276	1142
195	277	1138
196	278	1135
197	279	1131
198	280	1127
199	281	1124
200	281	1120
201	282	1117
202	283	1113
203	284	1109
204	284	1104
205	285	1100
206	285	1095
207	286	1090
208	287	1087
209	288	1083
210	288	1079
211	289	1074
212	289	1070
213	290	1066
214	291	1062
215	291	1058
216	292	1055
217	293	1051
218	293	1047
219	294	1044
220	295	1041
221	296	1037
222	296	1033
223	297	1029
224	297	1025
225	298	1022
226	299	1018
227	299	1014
228	300	1010
229	300	1006
230	301	1003
231	301	999
232	302	996
233	303	992
234	303	988
235	304	985
236	304	981
237	305	978
238	305	974
239	306	970
240	307	967
241	307	964
242	308	961
243	309	959
244	310	956
245	311	953
246	311	951
247	312	948
248	313	946
249	314	943
250	314	939
251	315	936
252	316	933
253	316	930
254	317	927
255	317	924
256	318	921
257	319	917
258	319	914
259	320	911
260	321	909
261	321	906
262	322	903
263	323	901
264	323	898
265	324	896
266	325	893
267	326	890
268	326	888
269	327	885
270	328	882
271	328	879
272	329	877
273	329	874
274	330	871
275	331	868
276	331	865
277	332	863
278	332	860
279	333	857
280	334	855
281	335	852
282	335	850
283	336	847
284	336	844
285	337	842
286	337	839
287	338	836
288	339	834
289	340	833
290	341	831
291	341	829
292	342	827
293	343	825
294	344	823
295	345	821
296	345	818
297	346	815
298	346	813
299	347	811
300	348	809
301	349	806
302	349	804
303	350	801
304	350	799
305	351	796
306	351	794
307	352	792
308	353	790
309	353	787
310	354	785
311	355	784
312	356	782
313	357	780
314	357	777
315	358	775
316	358	773
317	359	771
318	360	768
319	360	766
320	361	764
321	361	762
322	362	759
323	362	757
324	363	755
325	364	752
326	364	750
327	365	748
328	365	746
329	366	744
330	367	742
331	367	740
332	368	738
333	369	736
334	370	734
335	371	733
336	372	731
337	372	730
338	373	729
339	374	727
340	375	725
341	376	723
342	376	721
343	377	719
344	378	717
345	378	715
346	379	713
347	380	712
348	380	710
349	381	708
350	382	707
351	383	705
352	384	703
353	385	702
354	386	701
355	386	699
356	387	697
357	388	695
358	388	693
359	389	691
360	389	690
361	390	688
362	391	686
363	391	684
364	392	682
365	392	680
366	393	678
367	394	676
368	394	675
369	395	673
370	396	671
371	396	669
372	397	667
373	398	666
374	399	665
375	400	663
376	401	662
377	402	661
378	403	660
379	404	659
380	405	658
381	405	656
382	406	654
383	407	653
384	407	651
385	408	649
386	409	647
387	409	646
388	410	644
389	410	642
390	411	640
391	412	639
392	412	637
393	413	635
394	414	634
395	414	632
396	415	631
397	416	630
398	417	628
399	418	627
400	418	625
401	419	623
402	420	622
403	420	620
404	421	618
405	421	616
406	422	615
407	422	613
408	423	611
409	424	610
410	424	608
411	425	606
412	425	605
413	426	603
414	427	602
415	427	600
416	428	598
417	429	597
418	429	595
419	430	594
420	431	592
421	431	591
422	432	590
423	433	589
424	434	588
425	435	586
426	436	585
427	437	584
428	438	583
429	439	582
430	439	580
431	440	579
432	441	577
433	441	576
434	442	574
435	442	572
436	443	571
437	444	570
438	445	568
439	446	567
440	446	566
441	447	565
442	448	563
443	449	562
444	449	560
445	450	559
446	450	557
447	451	556
448	452	554
449	452	553
450	453	551
451	453	550
452	454	548
453	455	547
454	455	545
455	456	544
456	456	542
457	457	541
458	458	540
459	459	538
460	459	537
461	460	536
462	461	535
463	462	534
464	463	533
465	464	531
466	464	530
467	465	529
468	466	527
469	466	526
470	467	524
471	467	523
472	468	521
473	469	520
474	469	519
475	470	517
476	470	516
477	471	514
478	471	513
479	472	511
480	473	510
481	473	509
482	474	507
483	475	506
484	476	505
485	477	504
486	477	503
487	478	502
488	479	501
489	480	500
490	481	498
491	481	497
492	482	496
493	483	494
494	483	493
495	484	492
496	484	490
497	485	489
498	485	487
499	486	486
500	487	485
501	487	484
502	488	482
503	489	481
504	490	480
505	491	479
506	492	478
507	493	477
508	493	476
509	494	475
510	495	473
511	495	472
512	496	471
513	496	469
514	497	468
515	498	467
516	498	466
517	499	464
518	500	463
519	500	462
520	501	460
521	501	459
522	502	458
523	502	456
524	503	455
525	504	454
526	504	453
527	505	451
528	506	451
529	507	450
530	508	449
531	509	448
532	510	447
533	511	446
534	512	445
535	512	444
536	513	442
537	514	441
538	514	440
539	515	438
540	515	437
541	516	436
542	517	435
543	517	434
544	518	432
545	519	431
546	519	430
547	520	429
548	521	428
549	522	427
550	523	426
551	524	425
552	525	424
553	526	423
554	527	422
555	527	421
556	528	420
557	529	419
558	529	417
559	530	416
560	531	415
561	531	414
562	532	413
563	533	412
564	533	410
565	534	409
566	535	408
